iter	Accuracy	Logloss
476	0.8832643043	0.2771057102
477	0.8832643043	0.2770605719
478	0.8837244976	0.2766886011
479	0.8844914864	0.2764726892
480	0.8844914864	0.2762880036
481	0.8847982819	0.2759488413
482	0.8852584752	0.2757997094
483	0.8851050775	0.2756073283
484	0.8852584752	0.2754973382
485	0.8855652707	0.2753015845
486	0.8861788618	0.2749382508
487	0.8863322595	0.2747015499
488	0.8863322595	0.2746090453
489	0.8867924528	0.2743925346
490	0.8869458506	0.2741975525
491	0.8869458506	0.2740136217
492	0.8867924528	0.2739058123
493	0.8869458506	0.2737567164
494	0.8869458506	0.2736854391
495	0.8867924528	0.2733974851
496	0.8877128394	0.2730171489
497	0.8877128394	0.2728369524
498	0.8872526461	0.2726175543
499	0.8875594416	0.2724844473
500	0.8881730327	0.272313124
501	0.8880196349	0.2721539084
502	0.8883264304	0.2719890423
503	0.8883264304	0.2718938834
504	0.8878662372	0.2716886097
505	0.8878662372	0.2713101873
506	0.8880196349	0.271177362
507	0.8875594416	0.2709918562
508	0.8880196349	0.2708565565
509	0.8878662372	0.2707652244
510	0.8883264304	0.2705854661
511	0.8884798282	0.2704637129
512	0.8890934192	0.2702384289
513	0.8890934192	0.2699946226
514	0.889246817	0.2697726727
515	0.889246817	0.2696495598
516	0.8894002148	0.2693895565
517	0.8900138058	0.2691018039
518	0.8901672036	0.2689823482
519	0.889860408	0.2686783852
520	0.8895536125	0.2685791106
521	0.889860408	0.2683829105
522	0.889860408	0.2682179856
523	0.8900138058	0.2681418766
524	0.8906273968	0.2679909032
525	0.8904739991	0.2679110796
526	0.8904739991	0.2678058774
527	0.8907807946	0.2676433541
528	0.8910875901	0.2675264003
529	0.8910875901	0.267453275
530	0.8912409879	0.2673826282
531	0.8913943856	0.2670875793
532	0.8912409879	0.2669951523
533	0.8912409879	0.2668043319
534	0.8915477834	0.2666760331
535	0.8913943856	0.266539416
536	0.8913943856	0.2663762841
537	0.8913943856	0.2662124753
538	0.8903206013	0.2659868383
539	0.8903206013	0.2658413925
540	0.8906273968	0.2656042523
541	0.8915477834	0.2654583841
542	0.8915477834	0.2653614949
543	0.8915477834	0.2652727909
544	0.8915477834	0.2651644372
545	0.8917011812	0.2649332752
546	0.8918545789	0.2647958472
547	0.8921613744	0.2646683224
548	0.8920079767	0.2645194528
549	0.8918545789	0.2643035282
550	0.8918545789	0.2641865599
551	0.8918545789	0.26413591
552	0.8921613744	0.2638835955
553	0.89246817	0.2637641925
554	0.8927749655	0.2636642741
555	0.8926215677	0.2634232728
556	0.8926215677	0.2633470168
557	0.8926215677	0.2631849014
558	0.8926215677	0.2630755663
559	0.8926215677	0.2628765679
560	0.8927749655	0.2627426899
561	0.8932351588	0.2624675227
562	0.8932351588	0.2623293447
563	0.893081761	0.2622357194
564	0.893081761	0.2620992889
565	0.8932351588	0.2619695872
566	0.893081761	0.2617320058
567	0.8932351588	0.2615154915
568	0.8932351588	0.2614261924
569	0.8933885565	0.2613519274
570	0.8932351588	0.2612679194
571	0.893081761	0.2611922335
572	0.8932351588	0.2610893091
573	0.8943089431	0.2608427569
574	0.8943089431	0.260682855
575	0.8943089431	0.2605976066
576	0.8941555453	0.2604250517
577	0.8943089431	0.2602719612
578	0.8944623408	0.2601061876
579	0.8953827274	0.2598665603
580	0.8955361252	0.2597626131
581	0.8955361252	0.2596450481
582	0.8956895229	0.2594857618
583	0.8958429207	0.259339166
584	0.8961497162	0.2591427198
585	0.896303114	0.2589644123
586	0.896303114	0.2587118382
587	0.8964565117	0.2585874965
588	0.8966099095	0.2585282484
589	0.896916705	0.2582494909
590	0.8970701028	0.2581642847
591	0.896916705	0.2579954672
592	0.8972235005	0.2578240852
593	0.8979904893	0.2575048429
594	0.8982972849	0.2571973729
595	0.8982972849	0.2570540465
596	0.8981438871	0.2568490047
597	0.8981438871	0.2567351647
598	0.8984506826	0.2566293179
599	0.8986040804	0.2564144794
600	0.8987574781	0.2563017485
601	0.8990642737	0.2561452243
602	0.8989108759	0.2559168192
603	0.8992176714	0.255820875
604	0.8995244669	0.255696229
605	0.8995244669	0.2555376333
606	0.8993710692	0.2554131512
607	0.8995244669	0.2551447317
608	0.8995244669	0.2550270938
609	0.8998312625	0.2548450752
610	0.8998312625	0.2546988579
611	0.8999846602	0.2545617124
612	0.8999846602	0.2544070679
613	0.8999846602	0.2542449256
614	0.900138058	0.2541774936
615	0.9002914557	0.2540598221
616	0.9005982513	0.253920265
617	0.9004448535	0.2538055126
618	0.9004448535	0.2537035193
619	0.900751649	0.2535344312
620	0.900751649	0.2534581806
621	0.900751649	0.253210101
622	0.900751649	0.253024852
623	0.900751649	0.2529007758
624	0.9009050468	0.2527584022
625	0.9010584445	0.252531399
626	0.900751649	0.2523503484
627	0.9004448535	0.2521953209
628	0.9009050468	0.2520991013
629	0.9012118423	0.2519926132
630	0.9010584445	0.2519179495
631	0.9013652401	0.2517810101
632	0.9018254333	0.2516402612
633	0.9018254333	0.2514967281
634	0.9019788311	0.2513120605
635	0.9018254333	0.2511829482
636	0.9022856266	0.25087777
637	0.9022856266	0.2506648951
638	0.9028992177	0.2504181776
639	0.9030526154	0.2503095988
640	0.9028992177	0.2502118827
641	0.9028992177	0.2500971965
642	0.9032060132	0.2499838203
643	0.9032060132	0.249792705
644	0.903359411	0.2496970685
645	0.9036662065	0.2496052183
646	0.9035128087	0.2493688893
647	0.9036662065	0.249211185
648	0.9042797975	0.2490721276
649	0.9041263998	0.2489097361
650	0.9041263998	0.2488087301
651	0.9041263998	0.2486422513
652	0.9042797975	0.2484779631
653	0.9044331953	0.2483765383
654	0.9044331953	0.2481965326
655	0.9042797975	0.2481545733
656	0.904586593	0.2480354771
657	0.904586593	0.247836071
658	0.9047399908	0.247705173
659	0.9052001841	0.2474168057
660	0.9052001841	0.2472689921
661	0.9050467863	0.2470904271
662	0.9056603774	0.2468972227
663	0.9056603774	0.2467865952
664	0.9055069796	0.2466572873
665	0.9055069796	0.2466290975
666	0.9056603774	0.2463733501
667	0.9056603774	0.2462456955
668	0.9056603774	0.2461133067
669	0.9055069796	0.2458542167
670	0.9061205706	0.245684593
671	0.9058137751	0.2454943928
672	0.9058137751	0.2453674874
673	0.9059671729	0.2451369479
674	0.9061205706	0.2450459488
675	0.9062739684	0.2448547281
676	0.9062739684	0.2447833216
677	0.9061205706	0.2446146
678	0.9062739684	0.244484902
679	0.9062739684	0.2443813676
680	0.9061205706	0.2442616067
681	0.9062739684	0.2441720294
682	0.9065807639	0.2439642134
683	0.9064273662	0.2438396769
684	0.9061205706	0.2437542244
685	0.9062739684	0.2435835835
686	0.9064273662	0.2433817936
687	0.9062739684	0.2430946105
688	0.9062739684	0.2429268135
689	0.9064273662	0.2426996392
690	0.9065807639	0.2424755555
691	0.9065807639	0.2424196429
